text,tweet_ids,sentiment1
"Alam mong malapit na election pag si Mama Leni nyo nababanggit na sa mga modules. 

📸 ctto
#BBMFORPRESIDENT2022 #bbm2022 https://t.co/SWyDqpNsp1",['1440974741947371528'],1
Grabe lang yung narinig ko this morning. Yung kapitbahay namin kinuha ng team Pacquiao to help for his campaign huhu election na labasan na ng pera at bayarang mga trolls at supporters. :(,['1438656514047184896'],1
"@DominiqueAbalos Eh pag nanalo pa din cya, anong gagawin mo? 🤣🤣🤣tapos nag martial law bigla no bago mag election? Ang ganda kasi naka display ang mukha mo dito 🤣🤣🤣",['1443530194023694337'],0
I never voted Leni. I voted for MDS during the last election. Wala akong tiwala sa kanyang leadership. Masyadong trapo,['1436641944306786312'],1
@News5PH Bakit ngaun ka lang dumaldal??? Almost 6 years na kung kelan malapit na election??? Pareho lang kau ni Lacson na DDS.,['1440509710902325251'],1
@adamsmanzanasII Focus nga pala tayo sa election naalala ko bigla,['1442063718448132101'],2
@iampinglacson HOY Lacson kelan ba matatapos ang Sirkus ng mga ka-gangster mo sa senado. Paabutin nyo hangang bago mag eleksyon para umangat angat naman ratings mo KULELAT ka kasi eh AMBISYOSO #NoToPiSotTandem,['1437984328940601344'],1
mga possible candidate this coming election yta ang target nya to interview para makatulong din sa voters dba? hindi nman 💯 ng pinoy hater ni BBM 🤔 https://t.co/PB42FJmQSx,['1437724686968758274'],2
"@gmanews no hindi po claro madam, malabo po panong babalik e hindi pa nmn nagiging president c bbm magiging president palang ok kung ayaw mo e di hwag mo pano nmn kaming me gusto kaya nga me eleksyon e para samin anybody but robredo",['1441601715023716352'],1
@TheEvilFreak29 Matagal na labas baho ni Duterte. Hindi tayo makikinabang sa pag ngangawngaw nila ngayon kundi sila din kasi sila ang nagpapabango ng sarili nila para sa 2022 election at syempre maisalba sarili nila sa mga kahayopan ng Admin na sinuportahan nila. Just saying! May VP Leni naman e,['1438885467861123077'],1
"Then Sen Pacquiao: ""Mas malala pa kayo sa hayop(LGBTQ+), buti pa ang hayop alam na ang lalake ay para sa babae""...""hindi ko binabawi ang salitang nasabi ko na."" 

Presidential Candidate Pacquiao: ""Who I am to judge a person.""

Iba talaga nagagawa ng election nagbabago pananaw. 😂 https://t.co/GBNoYWGnFc",['1439883616805265410'],1
@sotto_tito Iba talaga nagagawa ng eleksyon na ito. Nahihimasmasan bigla ang mga dating enablers na parang pinahid.,['1434846579177897984'],1
"@bongbongmarcos Mga ka DDS full support tayo kay sir BBM, para sa darating na election! Ito lang yong paraan na ipakita natin sa kanya na bumalik ang ating tiwala sa pamilya nila, sa ilang dekada natin na nawala dahil nalinlang tayo! GAWIN NATIN KONG ANO ANG TAMA! #LabanBBM2022 https://t.co/5FZyKmRTuK",['1439606768380702723'],0
Bigla ko lng naalala. Nyeta ayusin nyo pagboto sa election ha! Maawa kayo sa pinas. Hirap magmoveon sa lahat ng problema.,['1442717394560958465'],1
Winnable sana ang Leni-Isko tandem sa 2022 election sayang!,['1440304007927373841'],1
"Same tito: dapat dae na dayaon ni Leni ang eleksyon para manggana na si Marcos
Me: ((I had no energy to argue with him so I left))
I overherad my tita saying: yan kuya ang greatest frustration ni mommy, na hanggang ngunyan blinded pa nanggad kamo 

HAHAHAHA SHUTA we're so fed up",['1438317631434539010'],1
"Isipin mo, ang pagpipilian mo sa eleksyon...
Bong Go, Lacson tas Pacquiao .... SHUTA ANO TO? MULTIPLE CHOICE PERO WALANG TAMANG SAGOT?!? 🤦‍♂️ https://t.co/TiRphqMAhX",['1439563752576196620'],1
From Bert to Maja to Angge ang saya naman na todo encourage sila to register and vote! Kaya habol na mga beh at patuloy pa rin tayo manawagan ng #ExtendTheRegistration @COMELEC #Halalan2022,['1442389951732092933'],0
"AKO AY GAGAPANG, BABANGON AT GAGANTI SA INYONG MGA SALOT NG LIPUNAN! 🧛

ILALABAS KO NA ANG AKING MGA MANIKA, KARAYOM AT ITIM NA KANDILA! 🖤

SA ELEKSYON AY TATAPUSIN NAMIN ANG SUMPA! 
AT SIGURADO KAYO NAMAN ANG LULUHA! 🧛

NASA AMING MGA TUNAY NA PILIPINO ANG HULING HALAKHAK! 🇵🇭",['1438635447324844033'],0
Si Manila Mayor Isko Moreno Domagoso ang magiging standard bearer ng partidong Aksyon Demokratiko sa Halalan 2022. Si Dr. Willie Ong naman ang magiging running mate ni Mayor Isko. https://t.co/81bwnQvUxu,['1440670969941663746'],2
